SeqID,Ref,Label,Cell,cDNA.Batch,Index.1,Index.2,Qubit,Ave.Size,Molarity,X4nM,Lib,ddH2O,Pool,People,genecounts.ID,Sample
90,CMI-113,RM1-70,DID-,sc2,31/5/18,S510,N704,21,703,45.26057158,11.31514289,1,10.3,FD02704430,Aurelie,RM1_70_P_sc,RM1_70_P_sc
91,CMI-114,RM1-71,DID-,sc3,31/5/18,S511,N704,12.5,943,20.08419294,5.021048234,1,4,FD02704430,Aurelie,RM1_71_P_sc,RM1_71_P_sc
92,CMI-115,RM1-73,DIDL,sc2,31/5/18,S502,N705,15.4,930,25.08960573,6.272401434,1,5.3,FD02704430,Aurelie,RM1_73_I_sc,RM1_73_I_sc
93,CMI-116,RM1-62,DIDL,sc1,31/5/18,S503,N705,16.5,1011,24.72799209,6.181998022,1,5.2,FD02704430,Aurelie,RM1_62_I_sc,RM1_62_I_sc
100,CMI-123,RM1-96,DIDL,sc2,15/6/18,S502,N706,19.2,840,34.63203463,8.658008658,1,7.7,FD02704430,Aurelie,RM1_96_I_sc,RM1_96_I_sc
101,CMI-124,RM1-99,DIDH,sc3,15/6/18,S505,N706,5.88,519,17.16587844,4.291469609,1,3.3,FD02704430,Aurelie,RM1_99_D_sc,RM1_99_D_sc
102,CMI-125,RM1-101,DID-,sc2,15/6/18,S506,N706,19.7,934,31.95769256,7.989423139,1,7,FD02704430,Aurelie,RM1_101_P_sc,RM1_101_P_sc
103,CMI-126,RM1-103,DID-,sc4,15/6/18,S507,N706,20.2,909,33.67003367,8.417508418,1,7.4,FD02704430,Aurelie,RM1_103_P_sc,RM1_103_P_sc
104,CMI-127,RM1-105,DID-,sc6,15/6/18,S508,N706,13,728,27.05627706,6.764069264,1,5.8,FD02704430,Aurelie,RM1_105_P_sc,RM1_105_P_sc
105,CMI-128,RM1-107,DIDL,sc2,15/6/18,S510,N706,4.36,823,8.026805111,2.006701278,1,1,FD02704430,Aurelie,RM1_107_I_sc,RM1_107_I_sc
106,CMI-129,RM1-109,DIDL,sc4,15/6/18,S511,N706,14.7,919,24.23582946,6.058957365,1,5.1,FD02704430,Aurelie,RM1_109_I_sc,RM1_109_I_sc
107,CMI-130,RM1-110,DIDL,sc5,15/6/18,S502,N707,15.3,925,25.06142506,6.265356265,1,5.3,FD02704430,Aurelie,RM1_110_I_sc,RM1_110_I_sc
108,CMI-131,RM1-113,DID-,sc2,21/6/18,S503,N707,13.6,720,28.61952862,7.154882155,1,6.2,FD02704430,Aurelie,RM1_113_P_sc,RM1_113_P_sc
109,CMI-132,RM1-115,DID-,sc4,21/6/18,S505,N707,17.7,888,30.2006552,7.5501638,1,6.6,FD02704430,Aurelie,RM1_115_P_sc,RM1_115_P_sc
110,CMI-133,RM1-117,DID-,sc6,21/6/18,S506,N707,16.3,1034,23.88488365,5.971220913,1,5,FD02704430,Aurelie,RM1_117_P_sc,RM1_117_P_sc
111,CMI-134,RM1-119,DID-,sc8,21/6/18,S507,N707,14.5,688,31.93269908,7.983174771,1,7,FD02704430,Aurelie,RM1_119_P_sc,RM1_119_P_sc
112,CMI-135,RM1-121,DIDL,sc2,21/6/18,S508,N707,11.9,948,19.01930699,4.754826748,1,3.8,FD02704430,Aurelie,RM1_121_I_sc,RM1_121_I_sc
113,CMI-136,RM1-122,DIDL,sc3,21/6/18,S510,N707,12.2,838,22.05829175,5.514572937,1,4.5,FD02704430,Aurelie,RM1_122_I_sc,RM1_122_I_sc
114,CMI-137,RM1-125,DID-,sc2,21/6/18,S511,N707,13.8,608,34.38995215,8.597488038,1,7.6,FD02704430,Aurelie,RM1_125_P_sc,RM1_125_P_sc
115,CMI-138,RM1-127,DID-,sc4,21/6/18,S502,N710,20.4,792,39.02662994,9.756657484,1,8.8,FD02704430,Aurelie,RM1_127_P_sc,RM1_127_P_sc
116,CMI-139,RM1-129,DIDL,sc2,21/6/18,S503,N710,17.6,893,29.86188876,7.465472191,1,6.5,FD02704430,Aurelie,RM1_129_I_sc,RM1_129_I_sc
117,CMI-140,RM1-131,DIDL,sc4,21/6/18,S505,N710,21,938,33.92130258,8.480325645,1,7.5,FD02704430,Aurelie,RM1_131_I_sc,RM1_131_I_sc
